D:\major project\dataset\face only\FF_Face_only_data\shortened\819.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\821.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\821_812.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\823_584.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\824.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\824_419.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\825.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\825_074.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\826.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\826_833.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\827.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\827_817.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\830.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\830_828.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\831.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\831_508.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\832.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\832_762.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\833.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\833_826.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\834_852.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\835.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\835_651.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\836.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\836_950.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\837.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\837_890.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\838.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\838_810.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\839.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\839_864.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\840.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\841_639.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\842.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\842_714.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\843.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\843_859.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\844.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\844_797.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\845.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\845_846.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\846.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\846_845.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\847.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\847_906.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\848.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\848_894.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\849_771.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\850.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\850_764.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\851.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\851_552.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\852.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\852_834.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\853.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\853_863.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\854.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\854_747.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\855.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\855_801.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\856.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\856_881.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\857.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\857_909.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\858.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\858_861.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\859.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\859_843.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\860.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\860_905.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\861.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\861_858.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\862.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\862_047.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\863.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\863_853.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\864.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\864_839.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\865.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\865_739.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\866.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\866_878.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\867.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\867_765.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\868.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\868_949.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\869.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\869_780.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\870.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\870_001.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\871.mp4,REAL
D:\major project\dataset\face only\FF_Face_only_data\shortened\871_814.mp4,FAKE
D:\major project\dataset\face only\FF_Face_only_data\shortened\872.mp4,REAL
